relative_path,bytes,pages,text_chars,status,text_file
1.0 Maintenance & Repair\1.01 Preventive Maintenance\3. Quick Win\Wheel Loader Lubricated Pin Inspection.pdf,170653,5,7721,ok,texts\1.0 Maintenance & Repair__1.01 Preventive Maintenance__3. Quick Win__Wheel Loader Lubricated Pin Inspection.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\1. Strategic\Condition Monitoring Strategy.pdf,1791651,13,33516,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__1. Strategic__Condition Monitoring Strategy.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\1. Strategic\Magnetic Plug Inspection Trays and Inspection Process.pdf,154242,3,6161,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__1. Strategic__Magnetic Plug Inspection Trays and Inspection Process.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Communicating VIMS Events Using Critical Event Advice.pdf,667718,8,11332,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__2. Tactical__Communicating VIMS Events Using Critical Event Advice.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Condition Monitoring - Field Inspection.pdf,4942025,8,12404,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__2. Tactical__Condition Monitoring - Field Inspection.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Electronic Data Usage for Equipment Management on Construction Projects.pdf,114431,4,7588,error,
1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Fuel Consumption Large Track-Type Tractor Production Study.pdf,4101314,6,13024,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__2. Tactical__Fuel Consumption Large Track-Type Tractor Production Study.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Maintenance Planning for OHT Bodies.pdf,4537674,7,10047,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__2. Tactical__Maintenance Planning for OHT Bodies.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Managing Fuel Consumption Reduces Cost.pdf,109178,5,8141,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__2. Tactical__Managing Fuel Consumption Reduces Cost.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Use of a Hot Sheet for Component Management.pdf,100937,7,14071,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__2. Tactical__Use of a Hot Sheet for Component Management.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Using VIMS TKPH Feature to Control Heat-Related Tire Failures.pdf,2621718,6,10080,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__2. Tactical__Using VIMS TKPH Feature to Control Heat-Related Tire Failures.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Using VIMS to Manage Overcooled Engines.pdf,119121,7,11803,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__2. Tactical__Using VIMS to Manage Overcooled Engines.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Using VIMS® to Determine Air Filter Replacement Intervals.pdf,76093,5,10419,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__2. Tactical__Using VIMS® to Determine Air Filter Replacement Intervals.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Utilization of Existing Onboard Electronics.pdf,306001,9,21651,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__2. Tactical__Utilization of Existing Onboard Electronics.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Utilizing VIMS Data for Effective Planned Maintenance.pdf,1334520,5,6447,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__2. Tactical__Utilizing VIMS Data for Effective Planned Maintenance.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\3. Quick Win\Applying Heat Tabs on 3400 3500 C-Series Engine Cylinder Heads.pdf,537233,5,5986,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__3. Quick Win__Applying Heat Tabs on 3400 3500 C-Series Engine Cylinder Heads.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\3. Quick Win\Fluid Analysis Sampling Cart.pdf,211736,8,10218,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__3. Quick Win__Fluid Analysis Sampling Cart.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\3. Quick Win\Magnetic Plug for Motor Grader Tandem Case.pdf,120162,5,7960,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__3. Quick Win__Magnetic Plug for Motor Grader Tandem Case.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\3. Quick Win\Oil Filter Cutting Bench.pdf,286617,5,8342,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__3. Quick Win__Oil Filter Cutting Bench.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\3. Quick Win\Oil Filter Cutting Tool (Field Operations).pdf,571236,4,5165,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__3. Quick Win__Oil Filter Cutting Tool (Field Operations).txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\3. Quick Win\Prediction of Failure of Starting Motors on D11R Machines.pdf,221382,9,10103,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__3. Quick Win__Prediction of Failure of Starting Motors on D11R Machines.txt
1.0 Maintenance & Repair\1.02 Condition Monitoring\3. Quick Win\Sample Tubing Bag.pdf,5272856,3,3209,ok,texts\1.0 Maintenance & Repair__1.02 Condition Monitoring__3. Quick Win__Sample Tubing Bag.txt
1.0 Maintenance & Repair\1.03 Planning & Scheduling\1. Strategic\Planning & Scheduling.pdf,854499,34,64310,ok,texts\1.0 Maintenance & Repair__1.03 Planning & Scheduling__1. Strategic__Planning & Scheduling.txt
1.0 Maintenance & Repair\1.03 Planning & Scheduling\1. Strategic\Strategic Plan to Recover the Performance of a Mining Equipment Fleet.pdf,5276301,36,65565,error,
1.0 Maintenance & Repair\1.03 Planning & Scheduling\1. Strategic\Unavailability Distribution.pdf,215223,16,31187,ok,texts\1.0 Maintenance & Repair__1.03 Planning & Scheduling__1. Strategic__Unavailability Distribution.txt
